G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
30,18,12,.600,12,1,4,10,1835,1629,642,1426,.450,266,729,.365,285,396,.720,694,405,262,51,295,484
29,19,10,.655,14,1,5,8,2082,1902,727,1633,.445,230,616,.373,398,590,.675,984,469,198,111,388,546
32,18,14,.563,9,3,6,8,2229,2169,762,1899,.401,198,656,.302,507,827,.613,1210,426,338,124,488,619
33,22,11,.667,11,3,7,5,2557,2371,900,1996,.451,217,625,.347,540,776,.696,1090,516,382,99,444,646
30,15,15,.500,9,4,4,8,1739,1839,583,1530,.381,136,453,.300,437,673,.649,1010,311,201,60,473,524
32,24,8,.750,14,1,8,4,2426,2083,819,1694,.483,249,632,.394,539,732,.736,1179,453,164,143,410,471
28,13,15,.464,7,4,6,10,1886,1811,644,1472,.438,174,459,.379,424,587,.722,944,366,225,68,414,484
29,7,22,.241,5,7,2,13,1677,2016,583,1538,.379,140,492,.285,371,618,.600,960,327,222,103,572,668
28,16,12,.571,9,3,6,9,1881,1850,680,1505,.452,178,486,.366,343,481,.713,987,361,184,78,420,502
30,18,12,.600,13,1,3,11,2192,2070,797,1801,.443,258,724,.356,340,521,.653,1050,485,296,138,447,518
32,18,14,.563,13,5,4,7,2433,2310,832,1841,.452,218,627,.348,551,770,.716,1174,530,201,116,467,604
37,30,7,.811,15,1,8,3,2948,2579,1077,2255,.478,253,630,.402,541,697,.776,1361,610,296,144,548,596
28,18,10,.643,13,1,4,8,1891,1870,668,1467,.455,142,383,.371,413,568,.727,922,372,187,89,423,542
28,7,21,.250,3,7,4,13,1654,1898,622,1602,.388,119,449,.265,291,448,.650,1009,330,192,139,457,488
29,16,13,.552,12,2,3,9,2207,2097,798,1749,.456,179,481,.372,432,645,.670,1103,427,201,82,426,593
30,18,12,.600,13,3,2,7,2147,1885,773,1692,.457,182,489,.372,419,632,.663,1022,435,262,156,427,555
27,3,24,.111,3,11,0,13,1510,1832,522,1297,.402,170,489,.348,296,385,.769,750,309,141,44,415,441
31,14,17,.452,8,7,3,7,2191,2332,757,1794,.422,259,755,.343,418,576,.726,1027,402,228,60,449,624
32,13,19,.406,7,5,3,11,2090,2147,741,1708,.434,192,550,.349,416,612,.680,1018,413,220,79,457,616
28,15,13,.536,11,3,4,8,1990,1911,691,1589,.435,204,542,.376,404,588,.687,971,334,155,69,341,512
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
28,9,19,.321,8,9,1,9,1863,2008,640,1442,.444,217,592,.367,366,524,.698,776,373,213,53,444,493
30,14,16,.467,9,5,5,9,2108,2101,717,1679,.427,292,812,.360,382,565,.676,954,414,224,96,434,584
30,13,17,.433,6,5,5,10,1931,2057,711,1638,.434,193,562,.343,316,526,.601,953,407,243,73,490,577
29,12,17,.414,7,5,2,10,1784,1839,624,1589,.393,194,596,.326,342,521,.656,1008,302,194,87,394,579
30,16,14,.533,7,4,6,9,1974,1893,644,1446,.445,207,580,.357,479,664,.721,996,335,157,66,400,587
34,16,18,.471,11,7,3,10,2393,2524,856,1987,.431,263,735,.358,418,610,.685,1193,456,178,80,507,629
30,25,5,.833,16,1,7,2,2174,1935,768,1685,.456,124,493,.252,514,722,.712,1135,527,217,123,403,453
29,20,9,.690,10,2,10,6,1822,1616,659,1531,.430,130,414,.314,374,556,.673,1030,356,202,143,350,453
29,18,11,.621,12,3,6,7,2023,1990,718,1471,.488,187,493,.379,400,535,.748,902,488,196,110,435,619
28,13,15,.464,12,3,1,11,1959,1996,699,1613,.433,151,470,.321,410,577,.711,1046,379,208,137,446,590
30,9,21,.300,6,8,2,9,1972,2070,690,1648,.419,211,583,.362,381,530,.719,1017,370,183,104,439,551
28,12,16,.429,5,6,6,9,1849,1898,620,1481,.419,201,564,.356,408,586,.696,884,374,252,67,401,454
33,23,10,.697,12,1,8,7,2097,1946,704,1585,.444,218,591,.369,471,672,.701,1044,416,262,96,508,630
33,23,10,.697,13,2,8,7,2462,2344,876,1946,.450,220,619,.355,490,717,.683,1237,460,290,86,510,711
28,13,15,.464,10,4,3,9,1811,1709,625,1373,.455,236,635,.372,325,440,.739,730,332,133,57,282,462
27,5,22,.185,4,10,1,12,1834,2147,633,1494,.424,190,537,.354,378,510,.741,881,283,168,77,447,541
32,21,11,.656,10,2,9,7,2408,2289,920,2055,.448,253,716,.353,315,457,.689,1211,472,211,53,423,586
31,18,13,.581,9,2,7,9,2229,2085,782,1722,.454,171,505,.339,494,697,.709,1005,436,340,77,502,647
28,11,17,.393,5,7,4,8,1903,2011,656,1480,.443,222,592,.375,369,495,.745,784,357,168,34,399,607
29,16,13,.552,9,4,6,8,1991,1962,718,1560,.460,164,462,.355,391,558,.701,991,440,141,75,392,520
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
28,9,19,.321,7,7,1,12,1745,1876,604,1465,.412,170,514,.331,367,532,.690,938,386,148,59,428,517
29,11,18,.379,8,4,2,13,1718,1823,596,1465,.407,183,540,.339,343,523,.656,889,308,207,88,363,464
29,13,16,.448,8,9,4,6,1956,2054,738,1644,.449,110,344,.320,370,590,.627,1011,422,141,98,432,509
27,2,25,.074,1,10,1,15,1681,2065,619,1520,.407,130,409,.318,313,503,.622,983,292,175,40,507,555
29,11,18,.379,8,7,3,11,2089,2213,761,1745,.436,195,543,.359,372,540,.689,1046,379,214,122,392,536
27,3,24,.111,2,9,1,14,1734,2103,594,1417,.419,178,489,.364,368,517,.712,795,304,166,47,453,595
28,12,16,.429,7,6,5,9,1919,1948,675,1518,.445,186,503,.370,383,523,.732,927,383,169,52,406,470
33,24,9,.727,12,3,8,5,2304,2152,784,1702,.461,283,759,.373,453,651,.696,1174,512,221,143,496,622
28,10,18,.357,8,7,2,11,1855,2102,637,1522,.419,183,524,.349,398,571,.697,898,339,212,66,490,616
30,13,17,.433,7,6,5,9,1762,1913,651,1518,.429,155,439,.353,305,477,.639,975,363,213,98,475,549
29,21,8,.724,12,2,7,5,2257,2093,763,1767,.432,232,630,.368,499,730,.684,1119,409,252,92,389,495
31,20,11,.645,13,3,7,7,2253,2034,795,1746,.455,168,554,.303,495,729,.679,1284,450,231,60,535,523
28,9,19,.321,6,4,2,14,1808,1980,652,1519,.429,151,464,.325,353,567,.623,874,330,225,100,383,528
33,25,8,.758,15,2,7,3,2505,2130,839,1923,.436,221,634,.349,606,878,.690,1355,493,179,225,435,586
28,12,16,.429,8,6,4,9,1868,1953,642,1579,.407,180,562,.320,404,626,.645,1057,290,226,114,494,598
32,16,16,.500,10,5,4,8,2294,2218,832,1878,.443,198,596,.332,432,719,.601,1186,463,319,166,565,652
26,9,17,.346,7,5,2,12,1772,1872,610,1438,.424,177,552,.321,375,540,.694,871,376,204,50,430,528
29,10,19,.345,8,5,2,13,1976,2068,722,1686,.428,204,567,.360,328,511,.642,988,414,215,53,407,571
28,12,16,.429,8,4,4,9,1848,1904,674,1547,.436,188,507,.371,312,441,.707,921,355,163,79,413,503
28,18,10,.643,13,3,4,6,2018,1897,721,1710,.422,177,551,.321,399,558,.715,1042,415,249,90,379,534
Overall,Overall,Overall,Overall,Home,Home,Away,Away,Points,Points,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
G,W,L,W-L%,W,L,W,L,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF
28,11,17,.393,11,4,0,12,1966,1943,671,1431,.469,139,408,.341,485,664,.730,991,423,160,150,446,564
30,14,16,.467,9,6,4,9,2147,2218,771,1774,.435,223,632,.353,382,607,.629,1086,419,190,158,418,570
27,12,15,.444,8,5,4,9,1734,1773,591,1401,.422,197,550,.358,355,508,.699,923,369,178,89,473,585
31,23,8,.742,14,3,7,3,2419,2072,862,1872,.460,154,486,.317,541,773,.700,1412,531,189,275,468,492
29,14,15,.483,6,3,7,11,1765,1833,602,1526,.394,103,360,.286,458,663,.691,972,278,247,95,429,554
27,13,14,.481,7,4,6,9,1733,1788,614,1370,.448,184,486,.379,321,428,.750,811,354,179,82,389,462
34,23,11,.676,11,5,7,5,2421,2207,823,1820,.452,293,707,.414,482,660,.730,1063,483,234,111,412,598
27,10,17,.370,9,4,1,13,1568,1740,567,1373,.413,165,437,.378,269,416,.647,788,344,184,92,381,506
32,23,9,.719,11,3,11,4,2316,2102,781,1802,.433,286,782,.366,468,634,.738,1217,470,174,46,471,585
29,18,11,.621,12,4,5,6,1877,1786,639,1554,.411,224,592,.378,375,519,.723,976,387,170,56,380,586
33,19,14,.576,9,1,6,11,2043,2036,667,1585,.421,213,622,.342,496,668,.743,911,351,264,92,461,538
31,11,20,.355,7,6,3,11,2017,2116,723,1684,.429,182,573,.318,389,594,.655,1101,400,191,88,518,604
31,20,11,.645,12,1,6,9,2266,2076,824,1735,.475,197,524,.376,421,602,.699,1030,485,230,152,405,491
